pot_id,plant_id,species,variety_accession,source,substrate,pot_type_size,life_stage,orga_level,temperature,start_germination,date_1st_germination,start_seedlings,start_flowering,Date_death,biomass_harvest_date,Biomass_g,chamber,Position_quadrant,Remarks
BRP01S26,BRP012S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,26,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,1.25,32026,5,Flowering date is for the 1st individual flowering in the population
BRP01S26,BRP013S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,26,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,4.5099999999999998,32026,5,Flowering date is for the 1st individual flowering in the population
BRP01S26,BRP014S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,26,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,2.2000000000000002,32026,5,Flowering date is for the 1st individual flowering in the population
BRP01S26,BRP015S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,26,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,2.1600000000000001,32026,5,Flowering date is for the 1st individual flowering in the population
BRP01S26,BRP016S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,26,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,3.5299999999999998,32026,5,Flowering date is for the 1st individual flowering in the population
BRP01S26,BRP017S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,26,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,5.0300000000000002,32026,5,Flowering date is for the 1st individual flowering in the population
BRP01S26,BRP018S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,26,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,3.3199999999999998,32026,5,Flowering date is for the 1st individual flowering in the population
BRP01S26,BRP019S26,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,26,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,2.6800000000000002,32026,5,Flowering date is for the 1st individual flowering in the population
BR001S30,BR001S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,18.04.2025,NA,20.05.2025,0.83999999999999997,32035,5,NA
BR002S30,BR002S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.03,32035,4,NA
BR003S30,BR003S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,0.75,32035,3,NA
BR004S30,BR004S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,18.04.2025,NA,20.05.2025,0.68999999999999995,32035,6,NA
BR005S30,BR005S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,18.04.2025,NA,20.05.2025,0.90000000000000002,32035,6,NA
BR006S30,BR006S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,0.29999999999999999,32035,1,NA
BR007S30,BR007S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,1.1000000000000001,32035,6,NA
BR008S30,BR008S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,18.04.2025,NA,20.05.2025,0.69999999999999996,32035,5,NA
BR009S30,BR009S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,18.04.2025,NA,20.05.2025,1.1599999999999999,32035,4,NA
BR010S30,BR010S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,18.04.2025,NA,20.05.2025,0.58999999999999997,32035,6,NA
BR011S30,BR011S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,0.26000000000000001,32035,4,NA
BR012S30,BR012S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,18.04.2025,NA,20.05.2025,1.03,32035,4,NA
