Path,Plant name,Volume,Dim_X,Dim_Y,Dim_Z,Cumul_Area,Font_Area_Ratio,Left_Area_Ratio,Top_Area_Ratio,Code_Error,Model issue,Cause
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL019_S22_20250616_1442.ply,0.00170,0.303,0.369,0.877,0.171,0.171,0.140,0.283,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL019_S34_20250616_1451.ply,0.00028,0.395,0.356,0.599,0.170,0.173,0.181,0.289,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL020_S38_20250616_1513.ply,0.00032,0.347,0.344,0.518,0.158,0.187,0.223,0.325,0,Slight alignment issue,
D:\Clement\3D_Digitalisation\2025-05-20_Harvest_Room_22degC\02_Metashape_BatchProc_withConfidence,Metashape_HS010_S22_20250613_1231.ply,180645.221,119.741,119.895,75.492,12070.988,0.455,0.337,0.336,10,,
D:\Clement\3D_Digitalisation\2025-05-20_Harvest_Room_22degC\02_Metashape_BatchProc_withConfidence,Metashape_TA027_S22_20250613_1234.ply,0.000,0.237,0.135,0.981,0.045,0.073,0.129,0.245,4,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL021_S34_20250616_1556.ply,0.00025,0.296,0.247,0.559,0.149,0.213,0.248,0.423,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL023_S26_20250616_1649.ply,0.00042,0.285,0.238,0.799,0.142,0.170,0.193,0.330,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL023_S30_20250616_1659.ply,0.00004,0.351,0.277,0.780,0.136,0.122,0.142,0.340,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL026_S26_20250616_1737.ply,0.00004,0.203,0.292,0.766,0.122,0.216,0.157,0.296,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL027_S26_20250616_1748.ply,0.00061,0.262,0.354,0.889,0.215,0.242,0.182,0.392,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL028_S26_20250616_1802.ply,0.00007,0.322,0.323,0.717,0.134,0.149,0.157,0.218,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL029_S26_20250616_1826.ply,0.00026,0.374,0.320,0.752,0.149,0.162,0.160,0.254,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA013_S26_20250613_1820.ply,0.00005,0.104,0.089,0.607,0.024,0.144,0.158,0.323,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA013_S38_20250613_1830.ply,0.00008,0.282,0.152,0.541,0.055,0.103,0.167,0.264,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA013_S38_20250613_1843.ply,0.00008,0.157,0.188,0.596,0.050,0.153,0.150,0.259,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA014_S30_20250613_1855.ply,0.00012,0.221,0.306,0.539,0.059,0.144,0.112,0.162,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA016_S26_20250613_1922.ply,0.00004,0.126,0.060,0.682,0.036,0.166,0.269,0.497,0,,
D:\Clement\3D_Digitalisation\2025-05-21_Harvest_Hordeum_spontaneum\02_Metashape_BatchProc_withConfidence,Metashape_HS009_S34_20250613_1103.ply,0.003,0.296,0.362,0.819,0.286,0.289,0.339,0.360,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA016_S30_20250613_1934.ply,0.00017,0.171,0.177,0.652,0.088,0.221,0.203,0.460,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA017_S38_20250613_2005.ply,0.00002,0.133,0.220,0.080,0.016,0.306,0.254,0.187,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA018_S34_20250613_2018.ply,0.00010,0.169,0.170,0.507,0.032,0.126,0.116,0.214,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA018_S38_20250613_2033.ply,0.00005,0.204,0.234,0.142,0.017,0.157,0.129,0.117,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA019_S26_20250613_2048.ply,0.00012,0.244,0.114,0.661,0.038,0.093,0.167,0.232,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA019_S30_20250613_2101.ply,0.00024,0.214,0.364,0.604,0.120,0.249,0.138,0.275,0,,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD013_S22_20250612_1725.ply,0.016,0.574,0.597,1.622,0.859,0.277,0.256,0.371,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA019_S34_20250613_2115.ply,0.00006,0.207,0.140,0.526,0.042,0.118,0.158,0.237,0,Slight alignment issue,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD014_S30_20250612_1740.ply,0.000,0.017,0.025,0.033,0.001,0.509,0.570,0.460,3,,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD014_S34_20250612_1749.ply,0.000,0.265,0.256,0.242,0.064,0.172,0.181,0.327,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA020_S30_20250613_2130.ply,0.00028,0.292,0.321,0.557,0.129,0.208,0.161,0.285,0,Slight alignment issue,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA020_S34_20250613_2145.ply,0.00024,0.192,0.131,0.627,0.103,0.253,0.305,0.457,0,,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD018_S22_20250612_1816.ply,461.136,11.756,24.551,12.639,478.447,0.552,0.419,0.449,11,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA021_S30_20250613_2200.ply,0.00019,0.154,0.161,0.687,0.088,0.223,0.233,0.415,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA021_S38_20250613_2214.ply,0.00008,0.151,0.194,0.469,0.036,0.138,0.116,0.232,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA022_S34_20250613_2228.ply,0.00024,0.170,0.170,0.501,0.058,0.169,0.170,0.435,0,,
D:\Clement\3D_Digitalisation\2025-05-28_Harvest_Solanum_dulcamara\02_Metashape_BatchProc_withConfidence,Metashape_SD021_S22_20250612_1844.ply,0.006,0.545,0.548,1.242,0.793,0.393,0.336,0.325,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA023_S34_20250613_2244.ply,0.00021,0.189,0.273,0.465,0.084,0.243,0.183,0.276,0,,
D:\Clement\3D_Digitalisation\2025-05-20_Harvest_Room_22degC\02_Metashape_BatchProc_withConfidence,Metashape_TA028_S22_20250613_1244.ply,0.00065,0.379,0.365,0.693,0.125,0.149,0.153,0.179,0,,
D:\Clement\3D_Digitalisation\2025-05-20_Harvest_Room_22degC\02_Metashape_BatchProc_withConfidence,Metashape_TA030_S22_20250613_1253.ply,0.00011,0.254,0.258,0.566,0.048,0.114,0.109,0.203,0,Slight alignment issue,

